"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","UPSIDE ","BUST ","SOS SEASON","ECR VS. ADP"
"384",14,"Tutu Atwell",MIA,"WR135","6","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","-67"
"385",14,"Zavion Thomas",CHI,"WR136","10","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","-137"
"386",14,"Savion Williams",GB,"WR137","11","Coach Upside rating–No rating available","Coach Bust rating–No rating available","5 out of 5 stars","-123"
"387",14,"Phil Mafah",DAL,"RB109","14","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","-87"
"388",14,"Nick Folk",ATL,"K23","11","Coach Upside rating–No rating available","Coach Bust rating–No rating available","0 out of 5 stars","-"
"389",14,"Miami Dolphins",MIA,"DST29","6","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","-"
"390",14,"Kevin Coleman Jr.",MIA,"WR138","6","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","-44"
"391",15,"Dameon Pierce",PHI,"RB110","10","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","-"
"392",15,"Tommy Tremble",CAR,"TE51","5","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-43"
"393",15,"Ben Sauls",NYG,"K24","8","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-"
"394",15,"Blake Grupe",IND,"K25","13","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","-"
"395",15,"Chad Ryland",ARI,"K26","14","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-"
"396",15,"Ben Sinnott",WAS,"TE52","7","Coach Upside rating–No rating available","Coach Bust rating–No rating available","1 out of 5 stars","-67"
"397",15,"Kyle Juszczyk",SF,"RB111","8","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-"
"398",15,"Antonio Gibson",FA,"RB112","-","Coach Upside rating–No rating available","Coach Bust rating–No rating available","-","-"
"399",15,"Jonnu Smith",FA,"TE53","-","Coach Upside rating–No rating available","Coach Bust rating–No rating available","-","-"
"400",15,"Luke Musgrave",GB,"TE54","11","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-34"
"401",15,"Spencer Shrader",IND,"K27","13","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","-"
"402",15,"Ryan Fitzgerald",CAR,"K28","5","Coach Upside rating–No rating available","Coach Bust rating–No rating available","0 out of 5 stars","-"
"403",15,"Dyami Brown",WAS,"WR139","7","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-69"
"404",15,"John Bates",WAS,"TE55","7","Coach Upside rating–No rating available","Coach Bust rating–No rating available","1 out of 5 stars","-"
"405",15,"Devontez Walker",BAL,"WR140","13","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","-148"
"406",15,"Roschon Johnson",CHI,"RB113","10","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-"
"407",15,"Ashton Dulin",IND,"WR141","13","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","-86"
"408",15,"DeAndre Hopkins",BAL,"WR142","13","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","-"
"409",15,"Cade Klubnik",NYJ,"QB42","13","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","-98"
"410",15,"Rasheen Ali",BAL,"RB114","13","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","-"
"411",15,"Jordan Whittington",LAR,"WR143","11","Coach Upside rating–No rating available","Coach Bust rating–No rating available","1 out of 5 stars","-55"
"412",15,"Zach Ertz",FA,"TE56","-","Coach Upside rating–No rating available","Coach Bust rating–No rating available","-","-"
"413",15,"Miles Sanders",FA,"RB115","-","Coach Upside rating–No rating available","Coach Bust rating–No rating available","-","-"
"414",15,"Austin Hooper",ATL,"TE57","11","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","-"
